bundle_id,week_start,total_potholes,unfixed,unfixed_rate,is_dh
262.0,2025-11-22,1,1,1.0,False
265.0,2022-06-18,1,1,1.0,False
265.0,2024-03-02,1,1,1.0,False
265.0,2024-04-27,1,1,1.0,False
271.0,2021-01-23,1,1,1.0,False
271.0,2021-02-13,1,1,1.0,False
271.0,2021-05-15,1,1,1.0,False
271.0,2022-02-26,1,1,1.0,False
271.0,2022-06-18,1,1,1.0,False
271.0,2022-08-06,2,1,0.5,False
271.0,2024-03-16,1,1,1.0,False
271.0,2024-12-07,1,0,0.0,False
271.0,2024-12-28,1,1,1.0,False
271.0,2025-03-15,1,1,1.0,False
271.0,2025-10-04,1,0,0.0,False
271.0,2025-11-01,1,1,1.0,False
271.0,2025-11-22,1,1,1.0,False
274.0,2022-10-22,1,1,1.0,False
274.0,2023-01-14,1,1,1.0,False
274.0,2023-04-01,1,1,1.0,False
274.0,2023-04-08,1,1,1.0,False
274.0,2024-10-05,1,1,1.0,False
274.0,2024-10-19,1,0,0.0,False
277.0,2022-03-19,1,1,1.0,False
277.0,2022-05-28,1,1,1.0,False
277.0,2023-01-14,1,1,1.0,False
277.0,2023-01-21,1,1,1.0,False
278.0,2022-04-23,1,1,1.0,False
278.0,2022-05-14,1,0,0.0,False
278.0,2022-11-26,1,1,1.0,False
278.0,2023-05-13,1,1,1.0,False
278.0,2023-09-30,1,1,1.0,False
278.0,2024-06-01,1,0,0.0,False
278.0,2024-06-15,1,0,0.0,False
278.0,2024-07-13,1,1,1.0,False
278.0,2024-09-28,1,1,1.0,False
278.0,2024-11-30,1,1,1.0,False
278.0,2025-05-17,1,0,0.0,False
278.0,2025-10-04,1,0,0.0,False
278.0,2025-10-11,1,0,0.0,False
278.0,2025-11-15,1,0,0.0,False
280.0,2021-01-23,1,1,1.0,False
280.0,2021-07-17,1,1,1.0,False
280.0,2021-08-14,1,1,1.0,False
280.0,2022-01-29,1,1,1.0,False
280.0,2022-04-09,1,1,1.0,False
280.0,2022-05-14,1,1,1.0,False
280.0,2022-09-10,1,0,0.0,False
280.0,2022-10-29,1,0,0.0,False
280.0,2023-01-14,1,1,1.0,False
280.0,2023-02-04,1,0,0.0,False
280.0,2023-02-11,1,1,1.0,False
280.0,2023-02-18,1,0,0.0,False
280.0,2023-08-19,1,1,1.0,False
280.0,2024-01-06,1,1,1.0,False
280.0,2024-01-27,1,1,1.0,False
280.0,2024-02-03,1,0,0.0,False
280.0,2024-02-10,1,0,0.0,False
280.0,2024-08-03,1,1,1.0,False
280.0,2024-08-17,1,0,0.0,False
280.0,2024-10-12,1,0,0.0,False
280.0,2024-11-30,1,1,1.0,False
281.0,2023-05-20,1,0,0.0,False
281.0,2023-06-10,1,0,0.0,False
281.0,2023-11-18,1,0,0.0,False
281.0,2023-12-02,1,0,0.0,False
281.0,2024-04-13,1,1,1.0,False
281.0,2024-07-20,1,0,0.0,False
281.0,2025-04-12,1,0,0.0,False
282.0,2021-07-24,1,1,1.0,False
282.0,2021-12-04,1,1,1.0,False
282.0,2022-02-12,1,1,1.0,False
282.0,2023-11-18,1,1,1.0,False
282.0,2024-04-13,1,0,0.0,False
282.0,2025-02-15,1,1,1.0,False
286.0,2021-01-23,1,1,1.0,False
286.0,2021-06-12,2,2,1.0,False
286.0,2021-07-24,1,1,1.0,False
286.0,2021-10-30,1,1,1.0,False
286.0,2022-06-04,1,0,0.0,False
286.0,2022-09-10,1,1,1.0,False
286.0,2022-11-26,1,1,1.0,False
286.0,2023-01-14,1,1,1.0,False
286.0,2023-11-25,1,1,1.0,False
286.0,2024-03-30,1,0,0.0,False
286.0,2024-10-12,1,0,0.0,False
286.0,2024-11-23,1,0,0.0,False
290.0,2021-11-13,1,0,0.0,False
290.0,2022-03-19,1,1,1.0,False
290.0,2022-06-25,1,0,0.0,False
290.0,2022-09-03,1,0,0.0,False
290.0,2022-10-01,1,1,1.0,False
290.0,2022-12-31,1,1,1.0,False
290.0,2023-03-04,1,1,1.0,False
290.0,2023-11-04,1,0,0.0,False
290.0,2024-01-06,1,1,1.0,False
290.0,2024-03-02,1,1,1.0,False
290.0,2024-10-05,1,1,1.0,False
290.0,2025-03-01,1,1,1.0,False
290.0,2025-03-15,2,2,1.0,False
290.0,2025-03-22,1,1,1.0,False
290.0,2025-03-29,1,1,1.0,False
290.0,2025-04-05,1,1,1.0,False
290.0,2025-07-12,1,0,0.0,False
290.0,2025-11-15,1,1,1.0,False
292.0,2021-02-13,1,1,1.0,False
292.0,2023-01-14,1,1,1.0,False
292.0,2023-01-21,1,1,1.0,False
292.0,2024-05-18,2,0,0.0,False
